date,close,open,low,high,pctChg,volume,isST
2000-01-04,1.3347605700,1.3129812600,1.3129812600,1.3378719000,1.658772,807328,0
2000-01-05,1.3907645100,1.3409832300,1.3409832300,1.4654364300,4.195800,4590220,0
2000-01-06,1.5245517000,1.3907645100,1.3907645100,1.5245517000,9.619694,9544259,0
2000-01-07,1.5089950500,1.5401083500,1.4654364300,1.5556650000,-1.020412,9480131,0
2000-01-10,1.4809930800,1.5183290400,1.4436571200,1.5245517000,-1.855663,4901342,0
2000-01-11,1.4094324900,1.4934384000,1.4000985000,1.4934384000,-4.831933,3547258,0
2000-01-12,1.3627625400,1.3938758400,1.3534285500,1.4312118000,-3.311260,1853715,0
2000-01-13,1.3440945600,1.3627625400,1.3316492400,1.3720965300,-1.369862,1323581,0
2000-01-14,1.3098699300,1.3409832300,1.3036472700,1.3565398800,-2.546299,1153526,0
2000-01-17,1.3472058900,1.3098699300,1.3005359400,1.3565398800,2.850353,909328,0
2000-01-18,1.3565398800,1.3658738700,1.3378719000,1.4063211600,0.692846,1520119,0
2000-01-19,1.3409832300,1.3565398800,1.3285379100,1.3658738700,-1.146793,845639,0
2000-01-20,1.3565398800,1.3409832300,1.3378719000,1.3814305200,1.160097,1198278,0
2000-01-21,1.3565398800,1.3565398800,1.3440945600,1.3938758400,0.000000,2066590,0
2000-01-24,1.3067586000,1.3503172200,1.2912019500,1.3503172200,-3.669732,2287771,0
2000-01-25,1.3067586000,1.3067586000,1.3067586000,1.3067586000,0.000000,0,0
2000-01-26,1.3316492400,1.3347605700,1.3223152500,1.3689852000,1.904771,813399,0
2000-01-27,1.3036472700,1.3378719000,1.3005359400,1.3440945600,-2.102807,2335283,0
2000-01-28,1.3129812600,1.3005359400,1.2756453000,1.3254265800,0.715984,2434600,0
2000-02-14,1.3969871700,1.3378719000,1.3129812600,1.4125438200,6.398104,5226849,0
2000-02-15,1.3658738700,1.4156551500,1.3596512100,1.4405457900,-2.227170,5921271,0
2000-02-16,1.3876531800,1.3534285500,1.3129812600,1.4094324900,1.594537,5967674,0
2000-02-17,1.3752078600,1.4187664800,1.3378719000,1.4312118000,-0.896860,6315119,0
2000-02-18,1.3440945600,1.3752078600,1.3378719000,1.4000985000,-2.262441,2739562,0
2000-02-21,1.3378719000,1.3472058900,1.3129812600,1.3627625400,-0.462962,3823789,0
2000-02-22,1.3254265800,1.3378719000,1.3223152500,1.3783191900,-0.930232,2974189,0
2000-02-23,1.3378719000,1.3254265800,1.3160925900,1.3689852000,0.938966,2058944,0
2000-02-24,1.3534285500,1.3658738700,1.3378719000,1.3783191900,1.162784,1220821,0
2000-02-25,1.3409832300,1.3596512100,1.3160925900,1.3627625400,-0.919539,2738143,0
2000-02-28,1.3907645100,1.4000985000,1.3689852000,1.4312118000,3.712294,4843389,0
2000-02-29,1.4032098300,1.4000985000,1.3720965300,1.4156551500,0.894864,4987727,0
2000-03-01,1.4343231300,1.4063211600,1.4063211600,1.4561024400,2.217293,5893398,0
2000-03-02,1.4000985000,1.4374344600,1.3720965300,1.4592137700,-2.386120,4530690,0
2000-03-03,1.4156551500,1.4063211600,1.3845418500,1.4218778100,1.111115,4317114,0
2000-03-06,1.4094324900,1.4312118000,1.4032098300,1.4592137700,-0.439560,6161246,0
2000-03-07,1.4312118000,1.4000985000,1.3689852000,1.4343231300,1.545247,3510911,0
2000-03-08,1.4281004700,1.4436571200,1.4218778100,1.4529911100,-0.217386,4246782,0
2000-03-09,1.4032098300,1.4281004700,1.3907645100,1.4312118000,-1.742918,2964798,0
2000-03-10,1.3783191900,1.4000985000,1.3720965300,1.4000985000,-1.773845,2666862,0
2000-03-13,1.3907645100,1.3720965300,1.3689852000,1.3969871700,0.902934,1902329,0
2000-03-14,1.3565398800,1.3845418500,1.3129812600,1.3876531800,-2.460843,3376252,0
2000-03-15,1.4218778100,1.3440945600,1.3440945600,1.4498797800,4.816514,5820002,0
2000-03-16,1.3534285500,1.4156551500,1.3378719000,1.4156551500,-4.814010,3094585,0
2000-03-17,1.3907645100,1.3503172200,1.3378719000,1.4218778100,2.758618,3089485,0
2000-03-20,1.4374344600,1.3627625400,1.3565398800,1.4467684500,3.355707,7669087,0
2000-03-21,1.4218778100,1.4934384000,1.4187664800,1.4934384000,-1.082245,5635050,0
2000-03-22,1.4436571200,1.4312118000,1.4249891400,1.4747704200,1.531722,6656804,0
2000-03-23,1.5245517000,1.4498797800,1.4498797800,1.5401083500,5.603454,15544232,0
2000-03-24,1.4716590900,1.5369970200,1.4685477600,1.5463310100,-3.469389,8415280,0
2000-03-27,1.6178916000,1.4716590900,1.4716590900,1.6178916000,9.936570,13148456,0
2000-03-28,1.6645615500,1.6334482500,1.6147802700,1.6956748500,2.884617,29445244,0
2000-03-29,1.7827920900,1.7050088400,1.6801182000,1.8045714000,7.102806,45340837,0
2000-03-30,1.7361221400,1.7983487400,1.7112315000,1.7983487400,-2.617803,13724213,0
2000-03-31,1.7143428300,1.7423448000,1.6956748500,1.7672354400,-1.254475,10127268,0
2000-04-03,1.6210029300,1.7143428300,1.6178916000,1.7205654900,-5.444649,9845237,0
2000-04-04,1.5805556400,1.6085576100,1.5587763300,1.6116689400,-2.495204,5719083,0
2000-04-05,1.5961122900,1.5712216500,1.5587763300,1.6147802700,0.984256,3432196,0
2000-04-06,1.6178916000,1.5992236200,1.5805556400,1.6178916000,1.364516,3352383,0
2000-04-07,1.6365595800,1.6178916000,1.6178916000,1.6770068700,1.153854,3744778,0
2000-04-10,1.6676728800,1.6365595800,1.6365595800,1.6801182000,1.901139,4406417,0
2000-04-11,1.6085576100,1.6676728800,1.6023349500,1.6956748500,-3.544777,4417668,0
2000-04-12,1.6147802700,1.6085576100,1.5867783000,1.6303369200,0.386847,3095865,0
2000-04-13,1.6645615500,1.6178916000,1.6147802700,1.6676728800,3.082849,3691162,0
2000-04-14,1.6770068700,1.6645615500,1.6490049000,1.6956748500,0.747663,5015421,0
2000-04-17,1.6147802700,1.6801182000,1.5867783000,1.6832295300,-3.710572,3762605,0
2000-04-18,1.6334482500,1.6116689400,1.5712216500,1.6490049000,1.156068,2612067,0
2000-04-19,1.6178916000,1.6334482500,1.6116689400,1.6396709100,-0.952385,1933127,0
2000-04-20,1.6241142600,1.6210029300,1.6147802700,1.6334482500,0.384615,2231675,0
2000-04-21,1.5992236200,1.6241142600,1.5898896300,1.6303369200,-1.532566,3115250,0
2000-04-24,1.6023349500,1.5867783000,1.5805556400,1.6178916000,0.194557,2438218,0
2000-04-25,1.6023349500,1.6023349500,1.6023349500,1.6023349500,0.000000,0,0
2000-04-26,1.6116689400,1.6054462800,1.6023349500,1.6490049000,0.582519,1605465,0
2000-04-27,1.5867783000,1.6147802700,1.5867783000,1.6147802700,-1.544400,1847398,0
2000-04-28,1.5805556400,1.5867783000,1.5681103200,1.5867783000,-0.392157,2601604,0
2000-05-08,1.5867783000,1.6023349500,1.5712216500,1.6116689400,0.393700,1401331,0
2000-05-09,1.5432196800,1.5867783000,1.5401083500,1.5867783000,-2.745095,2245691,0
